user_id,trial_start_date,paid_start_date,cancel_date,mrr
u_000000,2024-02-18,,,0
u_000001,2025-02-26,,,0
u_000002,2024-12-23,,,0
u_000003,2024-08-27,2024-09-18,,29
u_000004,2024-08-24,,,0
u_000005,2025-04-13,2025-04-27,,199
u_000006,2024-02-16,,,0
u_000007,2025-01-15,,,0
u_000008,2024-04-20,2024-04-28,,29
u_000009,2024-02-21,,,0
u_000010,2024-10-14,,,0
u_000011,,,,0
u_000012,2025-02-05,,,0
u_000013,2025-02-19,,,0
u_000014,2025-01-26,,,0
u_000015,2025-03-05,,,0
u_000016,,,,0
u_000017,2024-03-10,,,0
u_000018,2025-04-03,,,0
u_000019,,,,0
u_000020,2024-09-30,2024-11-01,,29
u_000021,2024-07-21,,,0
u_000022,,,,0
u_000023,2025-05-21,,,0
u_000024,2025-03-02,,,0
u_000025,2024-12-17,,,0
u_000026,2024-08-07,,,0
u_000027,2025-03-25,2025-04-17,,29
u_000028,2024-10-24,,,0
u_000029,2024-08-30,,,0
u_000030,,,,0
u_000031,2024-05-04,,,0
u_000032,,,,0
u_000033,,,,0
u_000034,,,,0
u_000035,,,,0
u_000036,2025-04-13,,,0
u_000037,2025-03-27,2025-04-21,,29
u_000038,2024-05-31,,,0
u_000039,2024-12-10,2024-12-30,,29
u_000040,2024-03-31,,,0
u_000041,,,,0
u_000042,2025-01-17,,,0
u_000043,2024-07-12,2024-08-02,,29
u_000044,,,,0
u_000045,2025-06-14,,,0
u_000046,2024-08-31,,,0
u_000047,,,,0
u_000048,,,,0
u_000049,,,,0
u_000050,2025-02-18,,,0
u_000051,,,,0
u_000052,2024-07-17,,,0
u_000053,,,,0
u_000054,2024-09-28,,,0
u_000055,,,,0
u_000056,,,,0
u_000057,2024-03-25,,,0
u_000058,2025-02-09,2025-03-08,,29
u_000059,,,,0
u_000060,2025-05-18,,,0
u_000061,2025-02-10,2025-03-10,,199
u_000062,2024-07-19,,,0
u_000063,2025-06-12,,,0
u_000064,,,,0
u_000065,2024-06-26,,,0
u_000066,2025-05-09,,,0
u_000067,2024-07-21,2024-08-12,,29
u_000068,2024-02-11,,,0
u_000069,2024-09-13,,,0
u_000070,2025-03-10,,,0
u_000071,2024-04-13,,,0
u_000072,2024-09-09,,,0
u_000073,2024-03-11,,,0
u_000074,,,,0
u_000075,,,,0
u_000076,2024-06-29,,,0
u_000077,,,,0
u_000078,2024-11-04,2024-11-23,,29
u_000079,,,,0
u_000080,,,,0
u_000081,,,,0
u_000082,2024-03-28,,,0
u_000083,2025-03-30,,,0
u_000084,2024-12-09,,,0
u_000085,2025-01-17,,,0
u_000086,,,,0
u_000087,2024-06-19,2024-07-18,,29
u_000088,,,,0
u_000089,2025-03-30,2025-04-14,,199
u_000090,2024-08-25,2024-09-14,,29
u_000091,2025-03-15,,,0
u_000092,,,,0
u_000093,2024-07-30,,,0
u_000094,2025-05-05,2025-06-06,,29
u_000095,2024-06-06,,,0
u_000096,2024-05-10,2024-06-05,,199
u_000097,,,,0
u_000098,,,,0
u_000099,2024-03-17,,,0
